scan_num,scan_time,drift_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped

1,1.0000,0.0995,1,0.0000,0.0000,0.0000,0,0
2,2.0000,0.1990,1,0.0000,0.0000,0.0000,0,0
3,3.0000,0.2985,1,0.0000,0.0000,0.0000,0,0
4,4.0000,0.3979,1,0.0000,0.0000,0.0000,0,0
5,5.0000,0.4974,1,0.0000,0.0000,0.0000,0,0
6,6.0000,0.5969,1,0.0000,0.0000,0.0000,0,0
7,7.0000,0.6964,1,0.0000,0.0000,0.0000,0,0
8,8.0000,0.7959,1,0.0000,0.0000,0.0000,0,0
9,9.0000,0.8954,1,0.0000,0.0000,0.0000,0,0
10,10.0000,0.9949,1,0.0000,0.0000,0.0000,0,0
11,11.0000,1.0944,1,0.0000,0.0000,0.0000,0,0
12,12.0000,1.1938,1,0.0000,0.0000,0.0000,0,0
13,13.0000,1.2933,1,0.0000,0.0000,0.0000,0,0
14,14.0000,1.3928,1,0.0000,0.0000,0.0000,0,0
15,15.0000,1.4923,1,0.0000,0.0000,0.0000,0,0
16,16.0000,1.5918,1,0.0000,0.0000,0.0000,0,0
17,17.0000,1.6913,1,0.0000,0.0000,0.0000,0,0
18,18.0000,1.7908,1,0.0000,0.0000,0.0000,0,0
19,19.0000,1.8903,1,0.0000,0.0000,0.0000,0,0
20,20.0000,1.9897,1,0.0000,0.0000,0.0000,0,0
21,21.0000,2.0892,1,0.0000,0.0000,0.0000,0,0
22,22.0000,2.1887,1,0.0000,0.0000,0.0000,0,0
23,23.0000,2.2882,1,0.0000,0.0000,0.0000,0,0
24,24.0000,2.3877,1,0.0000,0.0000,0.0000,0,0
25,25.0000,2.4872,1,0.0000,0.0000,0.0000,0,0
26,26.0000,2.5867,1,0.0000,0.0000,0.0000,0,0
27,27.0000,2.6862,1,0.0000,0.0000,0.0000,0,0
28,28.0000,2.7857,1,0.0000,0.0000,0.0000,0,0
29,29.0000,2.8851,1,0.0000,0.0000,0.0000,0,0
30,30.0000,2.9846,1,0.0000,0.0000,0.0000,0,0
31,31.0000,3.0841,1,0.0000,0.0000,0.0000,0,0
32,32.0000,3.1836,1,0.0000,0.0000,0.0000,0,0
33,33.0000,3.2831,1,0.0000,0.0000,0.0000,0,0
34,34.0000,3.3826,1,0.0000,0.0000,0.0000,0,0
35,35.0000,3.4821,1,0.0000,0.0000,0.0000,0,0
36,36.0000,3.5816,1,0.0000,0.0000,0.0000,0,0
37,37.0000,3.6810,1,0.0000,0.0000,0.0000,0,0
38,38.0000,3.7805,1,0.0000,0.0000,0.0000,0,0
39,39.0000,3.8800,1,0.0000,0.0000,0.0000,0,0
40,40.0000,3.9795,1,0.0000,0.0000,0.0000,0,0
41,41.0000,4.0790,1,0.0000,0.0000,0.0000,0,0
42,42.0000,4.1785,1,0.0000,0.0000,0.0000,0,0
43,43.0000,4.2780,1,0.0000,0.0000,0.0000,0,0
44,44.0000,4.3774,1,0.0000,0.0000,0.0000,0,0
45,45.0000,4.4769,1,0.0000,0.0000,0.0000,0,0
46,46.0000,4.5764,1,0.0000,0.0000,0.0000,0,0
47,47.0000,4.6759,1,0.0000,0.0000,0.0000,0,0
48,48.0000,4.7754,1,0.0000,0.0000,0.0000,0,0
49,49.0000,4.8749,1,0.0000,0.0000,0.0000,0,0
50,50.0000,4.9744,1,0.0000,0.0000,0.0000,0,0
51,51.0000,5.0739,1,0.0000,0.0000,0.0000,0,0
52,52.0000,5.1734,1,0.0000,0.0000,0.0000,0,0
53,53.0000,5.2728,1,0.0000,0.0000,0.0000,0,0
54,54.0000,5.3723,1,0.0000,0.0000,0.0000,0,0
55,55.0000,5.4718,1,0.0000,0.0000,0.0000,0,0
56,56.0000,5.5713,1,0.0000,0.0000,0.0000,0,0
57,57.0000,5.6708,1,0.0000,0.0000,0.0000,0,0
58,58.0000,5.7703,1,0.0000,0.0000,0.0000,0,0
59,59.0000,5.8698,1,0.0000,0.0000,0.0000,0,0
60,60.0000,5.9692,1,0.0000,0.0000,0.0000,0,0
61,61.0000,6.0687,1,0.0000,0.0000,0.0000,0,0
62,62.0000,6.1682,1,0.0000,0.0000,0.0000,0,0
63,63.0000,6.2677,1,0.0000,0.0000,0.0000,0,0
64,64.0000,6.3672,1,0.0000,0.0000,0.0000,0,0
65,65.0000,6.4667,1,0.0000,0.0000,0.0000,0,0
66,66.0000,6.5662,1,0.0000,0.0000,0.0000,0,0
67,67.0000,6.6657,1,0.0000,0.0000,0.0000,0,0
68,68.0000,6.7651,1,0.0000,0.0000,0.0000,0,0
69,69.0000,6.8646,1,0.0000,0.0000,0.0000,0,0
70,70.0000,6.9641,1,0.0000,0.0000,0.0000,0,0
71,71.0000,7.0636,1,0.0000,0.0000,0.0000,0,0
72,72.0000,7.1631,1,0.0000,0.0000,0.0000,0,0
73,73.0000,7.2626,1,0.0000,0.0000,0.0000,0,0
74,74.0000,7.3621,1,0.0000,0.0000,0.0000,0,0
75,75.0000,7.4616,1,0.0000,0.0000,0.0000,0,0
76,76.0000,7.5610,1,0.0000,0.0000,0.0000,0,0
77,77.0000,7.6605,1,0.0000,0.0000,0.0000,0,0
78,78.0000,7.7600,1,0.0000,0.0000,0.0000,0,0
79,79.0000,7.8595,1,0.0000,0.0000,0.0000,0,0
80,80.0000,7.9590,1,0.0000,0.0000,0.0000,0,0
81,81.0000,8.0585,1,0.0000,0.0000,0.0000,0,0
82,82.0000,8.1580,1,0.0000,0.0000,0.0000,0,0
83,83.0000,8.2575,1,0.0000,0.0000,0.0000,0,0
84,84.0000,8.3569,1,0.0000,0.0000,0.0000,0,0
85,85.0000,8.4564,1,0.0000,0.0000,0.0000,0,0
86,86.0000,8.5559,1,0.0000,0.0000,0.0000,0,0
87,87.0000,8.6554,1,0.0000,0.0000,0.0000,0,0
88,88.0000,8.7549,1,0.0000,0.0000,0.0000,0,0
89,89.0000,8.8544,1,0.0000,0.0000,0.0000,0,0
90,90.0000,8.9539,1,0.0000,0.0000,0.0000,0,0
91,91.0000,9.0534,1,0.0000,0.0000,0.0000,0,0
92,92.0000,9.1528,1,0.0000,0.0000,0.0000,0,0
93,93.0000,9.2523,1,0.0000,0.0000,0.0000,0,0
94,94.0000,9.3518,1,0.0000,0.0000,0.0000,0,0
95,95.0000,9.4513,1,0.0000,0.0000,0.0000,0,0
96,96.0000,9.5508,1,0.0000,0.0000,0.0000,0,0
97,97.0000,9.6503,1,0.0000,0.0000,0.0000,0,0
98,98.0000,9.7498,1,0.0000,0.0000,0.0000,0,0
99,99.0000,9.8493,1,0.0000,0.0000,0.0000,0,0
